circuit_family,provider,target_model,qubit_count,repetition,logical_depth,routed_depth,native_compiled_depth,routing_swap_count,native_entangling_gate_count,unsupported_operation_count,equivalence_passed,native_operation_counts,native_operation_sequence
qft,ibm,qiskit-generic-backend-v2-line-proxy,3,3,7,14.0,42.0,6.0,27.0,0.0,True,"{""cx"": 27, ""measure"": 3, ""rz"": 12, ""sx"": 3}","rz(2) -> sx(2) -> rz(2) -> cx(2,1) -> rz(1) -> cx(2,1) -> rz(1) -> sx(1) -> rz(1) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> rz(1) -> cx(1,0) -> rz(0) -> cx(1,0) -> rz(0) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> rz(1) -> cx(1,0) -> rz(0) -> cx(1,0) -> rz(0) -> sx(0) -> rz(0) -> cx(0,1) -> cx(1,0) -> cx(0,1) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(1,0) -> cx(0,1) -> cx(1,0) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> measure(0) -> measure(1) -> measure(2)"
qft,ibm,qiskit-generic-backend-v2-line-proxy,5,1,11,33.0,106.0,30.0,116.0,0.0,True,"{""cx"": 116, ""measure"": 5, ""rz"": 35, ""sx"": 5}","rz(4) -> sx(4) -> rz(4) -> cx(4,3) -> rz(3) -> cx(4,3) -> rz(3) -> sx(3) -> rz(3) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> rz(3) -> cx(3,2) -> rz(2) -> cx(3,2) -> rz(2) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> rz(3) -> cx(3,2) -> rz(2) -> cx(3,2) -> rz(2) -> sx(2) -> rz(2) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> rz(2) -> cx(2,1) -> rz(1) -> cx(2,1) -> rz(1) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> rz(2) -> cx(2,1) -> rz(1) -> cx(2,1) -> rz(1) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> rz(2) -> cx(2,1) -> rz(1) -> cx(2,1) -> rz(1) -> sx(1) -> rz(1) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> rz(1) -> cx(1,0) -> rz(0) -> cx(1,0) -> rz(0) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> rz(1) -> cx(1,0) -> rz(0) -> cx(1,0) -> rz(0) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> rz(1) -> cx(1,0) -> rz(0) -> cx(1,0) -> rz(0) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> rz(1) -> cx(1,0) -> rz(0) -> cx(1,0) -> rz(0) -> sx(0) -> rz(0) -> cx(0,1) -> cx(1,0) -> cx(0,1) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(0,1) -> cx(1,0) -> cx(0,1) -> cx(2,3) -> cx(3,2) -> cx(2,3) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(3,4) -> cx(4,3) -> cx(3,4) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(1,0) -> cx(0,1) -> cx(1,0) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(3,4) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> measure(0) -> measure(1) -> measure(2) -> measure(3) -> measure(4)"
qft,ibm,qiskit-generic-backend-v2-line-proxy,5,2,11,33.0,106.0,30.0,116.0,0.0,True,"{""cx"": 116, ""measure"": 5, ""rz"": 35, ""sx"": 5}","rz(4) -> sx(4) -> rz(4) -> cx(4,3) -> rz(3) -> cx(4,3) -> rz(3) -> sx(3) -> rz(3) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> rz(3) -> cx(3,2) -> rz(2) -> cx(3,2) -> rz(2) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> rz(3) -> cx(3,2) -> rz(2) -> cx(3,2) -> rz(2) -> sx(2) -> rz(2) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> rz(2) -> cx(2,1) -> rz(1) -> cx(2,1) -> rz(1) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> rz(2) -> cx(2,1) -> rz(1) -> cx(2,1) -> rz(1) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> rz(2) -> cx(2,1) -> rz(1) -> cx(2,1) -> rz(1) -> sx(1) -> rz(1) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> rz(1) -> cx(1,0) -> rz(0) -> cx(1,0) -> rz(0) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> rz(1) -> cx(1,0) -> rz(0) -> cx(1,0) -> rz(0) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> rz(1) -> cx(1,0) -> rz(0) -> cx(1,0) -> rz(0) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> rz(1) -> cx(1,0) -> rz(0) -> cx(1,0) -> rz(0) -> sx(0) -> rz(0) -> cx(0,1) -> cx(1,0) -> cx(0,1) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(0,1) -> cx(1,0) -> cx(0,1) -> cx(2,3) -> cx(3,2) -> cx(2,3) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(3,4) -> cx(4,3) -> cx(3,4) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(1,0) -> cx(0,1) -> cx(1,0) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(3,4) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> measure(0) -> measure(1) -> measure(2) -> measure(3) -> measure(4)"
qft,ibm,qiskit-generic-backend-v2-line-proxy,5,3,11,33.0,106.0,30.0,116.0,0.0,True,"{""cx"": 116, ""measure"": 5, ""rz"": 35, ""sx"": 5}","rz(4) -> sx(4) -> rz(4) -> cx(4,3) -> rz(3) -> cx(4,3) -> rz(3) -> sx(3) -> rz(3) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> rz(3) -> cx(3,2) -> rz(2) -> cx(3,2) -> rz(2) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> rz(3) -> cx(3,2) -> rz(2) -> cx(3,2) -> rz(2) -> sx(2) -> rz(2) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> rz(2) -> cx(2,1) -> rz(1) -> cx(2,1) -> rz(1) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> rz(2) -> cx(2,1) -> rz(1) -> cx(2,1) -> rz(1) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> rz(2) -> cx(2,1) -> rz(1) -> cx(2,1) -> rz(1) -> sx(1) -> rz(1) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> rz(1) -> cx(1,0) -> rz(0) -> cx(1,0) -> rz(0) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> rz(1) -> cx(1,0) -> rz(0) -> cx(1,0) -> rz(0) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> rz(1) -> cx(1,0) -> rz(0) -> cx(1,0) -> rz(0) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> rz(1) -> cx(1,0) -> rz(0) -> cx(1,0) -> rz(0) -> sx(0) -> rz(0) -> cx(0,1) -> cx(1,0) -> cx(0,1) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(0,1) -> cx(1,0) -> cx(0,1) -> cx(2,3) -> cx(3,2) -> cx(2,3) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(3,4) -> cx(4,3) -> cx(3,4) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(1,0) -> cx(0,1) -> cx(1,0) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(3,4) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> measure(0) -> measure(1) -> measure(2) -> measure(3) -> measure(4)"
qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,1,7,7.0,21.0,0.0,6.0,0.0,True,"{""measure"": 3, ""rx"": 9, ""rz"": 17, ""rzz"": 6}","rz(2) -> rx(2) -> rz(2) -> rzz(2,1) -> rz(1) -> rx(1) -> rz(1) -> rz(2) -> rzz(2,0) -> rz(0) -> rzz(1,0) -> rz(0) -> rx(0) -> rz(0) -> rz(1) -> rz(2) -> rx(2) -> rz(2) -> rzz(0,2) -> rx(0) -> rz(0) -> rx(2) -> rz(2) -> rzz(2,0) -> rx(0) -> rz(0) -> rx(2) -> rz(2) -> rzz(0,2) -> rz(0) -> rx(2) -> rz(2) -> measure(0) -> measure(1) -> measure(2)"
qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,2,7,7.0,21.0,0.0,6.0,0.0,True,"{""measure"": 3, ""rx"": 9, ""rz"": 17, ""rzz"": 6}","rz(2) -> rx(2) -> rz(2) -> rzz(2,1) -> rz(1) -> rx(1) -> rz(1) -> rz(2) -> rzz(2,0) -> rz(0) -> rzz(1,0) -> rz(0) -> rx(0) -> rz(0) -> rz(1) -> rz(2) -> rx(2) -> rz(2) -> rzz(0,2) -> rx(0) -> rz(0) -> rx(2) -> rz(2) -> rzz(2,0) -> rx(0) -> rz(0) -> rx(2) -> rz(2) -> rzz(0,2) -> rz(0) -> rx(2) -> rz(2) -> measure(0) -> measure(1) -> measure(2)"
qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,3,7,7.0,21.0,0.0,6.0,0.0,True,"{""measure"": 3, ""rx"": 9, ""rz"": 17, ""rzz"": 6}","rz(2) -> rx(2) -> rz(2) -> rzz(2,1) -> rz(1) -> rx(1) -> rz(1) -> rz(2) -> rzz(2,0) -> rz(0) -> rzz(1,0) -> rz(0) -> rx(0) -> rz(0) -> rz(1) -> rz(2) -> rx(2) -> rz(2) -> rzz(0,2) -> rx(0) -> rz(0) -> rx(2) -> rz(2) -> rzz(2,0) -> rx(0) -> rz(0) -> rx(2) -> rz(2) -> rzz(0,2) -> rz(0) -> rx(2) -> rz(2) -> measure(0) -> measure(1) -> measure(2)"
qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,1,11,11.0,29.0,0.0,16.0,0.0,True,"{""measure"": 5, ""rx"": 17, ""rz"": 40, ""rzz"": 16}","rz(4) -> rx(4) -> rz(4) -> rzz(4,3) -> rz(3) -> rx(3) -> rz(3) -> rz(4) -> rzz(4,2) -> rz(2) -> rzz(3,2) -> rz(2) -> rx(2) -> rz(2) -> rz(3) -> rz(4) -> rzz(4,1) -> rz(1) -> rzz(3,1) -> rz(1) -> rzz(2,1) -> rz(1) -> rx(1) -> rz(1) -> rz(2) -> rz(3) -> rz(4) -> rzz(4,0) -> rz(0) -> rzz(3,0) -> rz(0) -> rzz(2,0) -> rz(0) -> rzz(1,0) -> rz(0) -> rx(0) -> rz(0) -> rz(1) -> rz(2) -> rz(3) -> rx(3) -> rz(3) -> rzz(1,3) -> rx(1) -> rz(1) -> rx(3) -> rz(3) -> rzz(3,1) -> rx(1) -> rz(1) -> rx(3) -> rz(3) -> rzz(1,3) -> rz(1) -> rx(3) -> rz(3) -> rz(4) -> rx(4) -> rz(4) -> rzz(0,4) -> rx(0) -> rz(0) -> rx(4) -> rz(4) -> rzz(4,0) -> rx(0) -> rz(0) -> rx(4) -> rz(4) -> rzz(0,4) -> rz(0) -> rx(4) -> rz(4) -> measure(0) -> measure(1) -> measure(2) -> measure(3) -> measure(4)"
qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,2,11,11.0,29.0,0.0,16.0,0.0,True,"{""measure"": 5, ""rx"": 17, ""rz"": 40, ""rzz"": 16}","rz(4) -> rx(4) -> rz(4) -> rzz(4,3) -> rz(3) -> rx(3) -> rz(3) -> rz(4) -> rzz(4,2) -> rz(2) -> rzz(3,2) -> rz(2) -> rx(2) -> rz(2) -> rz(3) -> rz(4) -> rzz(4,1) -> rz(1) -> rzz(3,1) -> rz(1) -> rzz(2,1) -> rz(1) -> rx(1) -> rz(1) -> rz(2) -> rz(3) -> rz(4) -> rzz(4,0) -> rz(0) -> rzz(3,0) -> rz(0) -> rzz(2,0) -> rz(0) -> rzz(1,0) -> rz(0) -> rx(0) -> rz(0) -> rz(1) -> rz(2) -> rz(3) -> rx(3) -> rz(3) -> rzz(1,3) -> rx(1) -> rz(1) -> rx(3) -> rz(3) -> rzz(3,1) -> rx(1) -> rz(1) -> rx(3) -> rz(3) -> rzz(1,3) -> rz(1) -> rx(3) -> rz(3) -> rz(4) -> rx(4) -> rz(4) -> rzz(0,4) -> rx(0) -> rz(0) -> rx(4) -> rz(4) -> rzz(4,0) -> rx(0) -> rz(0) -> rx(4) -> rz(4) -> rzz(0,4) -> rz(0) -> rx(4) -> rz(4) -> measure(0) -> measure(1) -> measure(2) -> measure(3) -> measure(4)"
qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,3,11,11.0,29.0,0.0,16.0,0.0,True,"{""measure"": 5, ""rx"": 17, ""rz"": 40, ""rzz"": 16}","rz(4) -> rx(4) -> rz(4) -> rzz(4,3) -> rz(3) -> rx(3) -> rz(3) -> rz(4) -> rzz(4,2) -> rz(2) -> rzz(3,2) -> rz(2) -> rx(2) -> rz(2) -> rz(3) -> rz(4) -> rzz(4,1) -> rz(1) -> rzz(3,1) -> rz(1) -> rzz(2,1) -> rz(1) -> rx(1) -> rz(1) -> rz(2) -> rz(3) -> rz(4) -> rzz(4,0) -> rz(0) -> rzz(3,0) -> rz(0) -> rzz(2,0) -> rz(0) -> rzz(1,0) -> rz(0) -> rx(0) -> rz(0) -> rz(1) -> rz(2) -> rz(3) -> rx(3) -> rz(3) -> rzz(1,3) -> rx(1) -> rz(1) -> rx(3) -> rz(3) -> rzz(3,1) -> rx(1) -> rz(1) -> rx(3) -> rz(3) -> rzz(1,3) -> rz(1) -> rx(3) -> rz(3) -> rz(4) -> rx(4) -> rz(4) -> rzz(0,4) -> rx(0) -> rz(0) -> rx(4) -> rz(4) -> rzz(4,0) -> rx(0) -> rz(0) -> rx(4) -> rz(4) -> rzz(0,4) -> rz(0) -> rx(4) -> rz(4) -> measure(0) -> measure(1) -> measure(2) -> measure(3) -> measure(4)"
