circuit_family,provider,target_model,qubit_count,repetition,logical_depth,routed_depth,native_compiled_depth,routing_swap_count,native_entangling_gate_count,unsupported_operation_count,equivalence_passed,native_operation_counts,native_operation_sequence
ghz,ibm,qiskit-generic-backend-v2-line-proxy,7,1,8,28.0,60.0,20.0,56.0,0.0,True,"{""cx"": 56, ""measure"": 7, ""rz"": 2, ""sx"": 1}","rz(0) -> sx(0) -> rz(0) -> cx(1,0) -> cx(0,1) -> cx(2,1) -> cx(1,2) -> cx(3,2) -> cx(2,3) -> cx(4,3) -> cx(3,4) -> cx(5,4) -> cx(4,5) -> cx(5,6) -> cx(5,4) -> cx(4,5) -> cx(5,4) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(1,0) -> cx(0,1) -> cx(1,0) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(2,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(3,4) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(4,5) -> cx(5,4) -> cx(4,5) -> cx(5,4) -> cx(4,5) -> cx(5,4) -> cx(5,6) -> cx(6,5) -> cx(5,6) -> cx(6,5) -> cx(5,6) -> cx(6,5) -> measure(0) -> measure(1) -> measure(2) -> measure(3) -> measure(4) -> measure(5) -> measure(6)"
ghz,ibm,qiskit-generic-backend-v2-line-proxy,7,2,8,28.0,60.0,20.0,56.0,0.0,True,"{""cx"": 56, ""measure"": 7, ""rz"": 2, ""sx"": 1}","rz(0) -> sx(0) -> rz(0) -> cx(1,0) -> cx(0,1) -> cx(2,1) -> cx(1,2) -> cx(3,2) -> cx(2,3) -> cx(4,3) -> cx(3,4) -> cx(5,4) -> cx(4,5) -> cx(5,6) -> cx(5,4) -> cx(4,5) -> cx(5,4) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(1,0) -> cx(0,1) -> cx(1,0) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(2,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(3,4) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(4,5) -> cx(5,4) -> cx(4,5) -> cx(5,4) -> cx(4,5) -> cx(5,4) -> cx(5,6) -> cx(6,5) -> cx(5,6) -> cx(6,5) -> cx(5,6) -> cx(6,5) -> measure(0) -> measure(1) -> measure(2) -> measure(3) -> measure(4) -> measure(5) -> measure(6)"
ghz,ibm,qiskit-generic-backend-v2-line-proxy,7,3,8,28.0,60.0,20.0,56.0,0.0,True,"{""cx"": 56, ""measure"": 7, ""rz"": 2, ""sx"": 1}","rz(0) -> sx(0) -> rz(0) -> cx(1,0) -> cx(0,1) -> cx(2,1) -> cx(1,2) -> cx(3,2) -> cx(2,3) -> cx(4,3) -> cx(3,4) -> cx(5,4) -> cx(4,5) -> cx(5,6) -> cx(5,4) -> cx(4,5) -> cx(5,4) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(1,0) -> cx(0,1) -> cx(1,0) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(1,2) -> cx(2,1) -> cx(2,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(2,3) -> cx(3,2) -> cx(3,4) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(3,4) -> cx(4,3) -> cx(4,5) -> cx(5,4) -> cx(4,5) -> cx(5,4) -> cx(4,5) -> cx(5,4) -> cx(5,6) -> cx(6,5) -> cx(5,6) -> cx(6,5) -> cx(5,6) -> cx(6,5) -> measure(0) -> measure(1) -> measure(2) -> measure(3) -> measure(4) -> measure(5) -> measure(6)"
ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,1,4,4.0,9.0,0.0,2.0,0.0,True,"{""measure"": 3, ""rx"": 5, ""rz"": 10, ""rzz"": 2}","rz(0) -> rx(0) -> rz(0) -> rz(1) -> rx(1) -> rz(1) -> rzz(0,1) -> rz(0) -> rx(1) -> rz(1) -> rz(2) -> rx(2) -> rz(2) -> rzz(0,2) -> rz(0) -> rx(2) -> rz(2) -> measure(0) -> measure(1) -> measure(2)"
ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,2,4,4.0,9.0,0.0,2.0,0.0,True,"{""measure"": 3, ""rx"": 5, ""rz"": 10, ""rzz"": 2}","rz(0) -> rx(0) -> rz(0) -> rz(1) -> rx(1) -> rz(1) -> rzz(0,1) -> rz(0) -> rx(1) -> rz(1) -> rz(2) -> rx(2) -> rz(2) -> rzz(0,2) -> rz(0) -> rx(2) -> rz(2) -> measure(0) -> measure(1) -> measure(2)"
ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,3,4,4.0,9.0,0.0,2.0,0.0,True,"{""measure"": 3, ""rx"": 5, ""rz"": 10, ""rzz"": 2}","rz(0) -> rx(0) -> rz(0) -> rz(1) -> rx(1) -> rz(1) -> rzz(0,1) -> rz(0) -> rx(1) -> rz(1) -> rz(2) -> rx(2) -> rz(2) -> rzz(0,2) -> rz(0) -> rx(2) -> rz(2) -> measure(0) -> measure(1) -> measure(2)"
ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,1,6,6.0,13.0,0.0,4.0,0.0,True,"{""measure"": 5, ""rx"": 9, ""rz"": 18, ""rzz"": 4}","rz(0) -> rx(0) -> rz(0) -> rz(1) -> rx(1) -> rz(1) -> rzz(0,1) -> rz(0) -> rx(1) -> rz(1) -> rz(2) -> rx(2) -> rz(2) -> rzz(0,2) -> rz(0) -> rx(2) -> rz(2) -> rz(3) -> rx(3) -> rz(3) -> rzz(0,3) -> rz(0) -> rx(3) -> rz(3) -> rz(4) -> rx(4) -> rz(4) -> rzz(0,4) -> rz(0) -> rx(4) -> rz(4) -> measure(0) -> measure(1) -> measure(2) -> measure(3) -> measure(4)"
ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,2,6,6.0,13.0,0.0,4.0,0.0,True,"{""measure"": 5, ""rx"": 9, ""rz"": 18, ""rzz"": 4}","rz(0) -> rx(0) -> rz(0) -> rz(1) -> rx(1) -> rz(1) -> rzz(0,1) -> rz(0) -> rx(1) -> rz(1) -> rz(2) -> rx(2) -> rz(2) -> rzz(0,2) -> rz(0) -> rx(2) -> rz(2) -> rz(3) -> rx(3) -> rz(3) -> rzz(0,3) -> rz(0) -> rx(3) -> rz(3) -> rz(4) -> rx(4) -> rz(4) -> rzz(0,4) -> rz(0) -> rx(4) -> rz(4) -> measure(0) -> measure(1) -> measure(2) -> measure(3) -> measure(4)"
ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,3,6,6.0,13.0,0.0,4.0,0.0,True,"{""measure"": 5, ""rx"": 9, ""rz"": 18, ""rzz"": 4}","rz(0) -> rx(0) -> rz(0) -> rz(1) -> rx(1) -> rz(1) -> rzz(0,1) -> rz(0) -> rx(1) -> rz(1) -> rz(2) -> rx(2) -> rz(2) -> rzz(0,2) -> rz(0) -> rx(2) -> rz(2) -> rz(3) -> rx(3) -> rz(3) -> rzz(0,3) -> rz(0) -> rx(3) -> rz(3) -> rz(4) -> rx(4) -> rz(4) -> rzz(0,4) -> rz(0) -> rx(4) -> rz(4) -> measure(0) -> measure(1) -> measure(2) -> measure(3) -> measure(4)"
ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,7,1,8,8.0,17.0,0.0,6.0,0.0,True,"{""measure"": 7, ""rx"": 13, ""rz"": 26, ""rzz"": 6}","rz(0) -> rx(0) -> rz(0) -> rz(1) -> rx(1) -> rz(1) -> rzz(0,1) -> rz(0) -> rx(1) -> rz(1) -> rz(2) -> rx(2) -> rz(2) -> rzz(0,2) -> rz(0) -> rx(2) -> rz(2) -> rz(3) -> rx(3) -> rz(3) -> rzz(0,3) -> rz(0) -> rx(3) -> rz(3) -> rz(4) -> rx(4) -> rz(4) -> rzz(0,4) -> rz(0) -> rx(4) -> rz(4) -> rz(5) -> rx(5) -> rz(5) -> rzz(0,5) -> rz(0) -> rx(5) -> rz(5) -> rz(6) -> rx(6) -> rz(6) -> rzz(0,6) -> rz(0) -> rx(6) -> rz(6) -> measure(0) -> measure(1) -> measure(2) -> measure(3) -> measure(4) -> measure(5) -> measure(6)"
