proxy_target_name,provider,connectivity_model,native_operation_set,one_qubit_operation_durations_ns,entangling_operation_durations_ns,measurement_duration_ns,one_qubit_proxy_error_rates,entangling_proxy_error_rates,measurement_proxy_error_rate,source_or_rationale,assumption_version_date,not_live_device_calibration
qiskit-generic-backend-v2-line-proxy,ibm,line/nearest-neighbor,"[""rz"", ""sx"", ""x"", ""cx""]","{""rz"": 0.0, ""sx"": 80.0, ""x"": 160.0}","{""cx"": 300.0}",120.0,"{""rz"": 0.0, ""sx"": 0.001, ""x"": 0.001}","{""cx"": 0.01}",0.02,offline proxy assumptions; not provider metadata or hardware calibration; offline proxy error assumptions; not hardware fidelity,2026-06-23,True
quantinuum-h-series-rzz-offline-proxy,quantinuum,all-to-all,"[""rz"", ""rx"", ""rzz""]","{""rx"": 40.0, ""rz"": 0.0}","{""rzz"": 150.0}",90.0,"{""rx"": 0.0005, ""rz"": 0.0}","{""rzz"": 0.005}",0.01,offline H-series-style proxy assumptions; not provider metadata or hardware calibration; offline proxy error assumptions; not hardware fidelity,2026-06-23,True
