metric,circuit_family,provider,target_model,qubit_count,n_repetitions,distinct_values,mean,std_across_repetitions,min,max,show_uncertainty
routed_depth,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,3,1,6.0,0.0,6.0,6.0,False
routed_depth,ghz,ibm,qiskit-generic-backend-v2-line-proxy,7,3,1,28.0,0.0,28.0,28.0,False
routed_depth,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,7,3,1,8.0,0.0,8.0,8.0,False
routed_depth,grover,ibm,qiskit-generic-backend-v2-line-proxy,2,3,1,8.0,0.0,8.0,8.0,False
routed_depth,grover,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,3,1,8.0,0.0,8.0,8.0,False
routed_depth,qft,ibm,qiskit-generic-backend-v2-line-proxy,3,3,1,14.0,0.0,14.0,14.0,False
routed_depth,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,3,1,7.0,0.0,7.0,7.0,False
routed_depth,qft,ibm,qiskit-generic-backend-v2-line-proxy,5,3,1,33.0,0.0,33.0,33.0,False
routed_depth,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,3,1,11.0,0.0,11.0,11.0,False
native_compiled_depth,bell,ibm,qiskit-generic-backend-v2-line-proxy,2,3,1,5.0,0.0,5.0,5.0,False
native_compiled_depth,bell,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,3,1,7.0,0.0,7.0,7.0,False
native_compiled_depth,ghz,ibm,qiskit-generic-backend-v2-line-proxy,3,3,1,16.0,0.0,16.0,16.0,False
native_compiled_depth,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,3,1,9.0,0.0,9.0,9.0,False
native_compiled_depth,ghz,ibm,qiskit-generic-backend-v2-line-proxy,5,3,1,38.0,0.0,38.0,38.0,False
native_compiled_depth,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,3,1,13.0,0.0,13.0,13.0,False
native_compiled_depth,ghz,ibm,qiskit-generic-backend-v2-line-proxy,7,3,1,60.0,0.0,60.0,60.0,False
native_compiled_depth,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,7,3,1,17.0,0.0,17.0,17.0,False
native_compiled_depth,grover,ibm,qiskit-generic-backend-v2-line-proxy,2,3,1,12.0,0.0,12.0,12.0,False
native_compiled_depth,grover,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,3,1,10.0,0.0,10.0,10.0,False
native_compiled_depth,qft,ibm,qiskit-generic-backend-v2-line-proxy,3,3,1,42.0,0.0,42.0,42.0,False
native_compiled_depth,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,3,1,21.0,0.0,21.0,21.0,False
native_compiled_depth,qft,ibm,qiskit-generic-backend-v2-line-proxy,5,3,1,106.0,0.0,106.0,106.0,False
native_compiled_depth,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,3,1,29.0,0.0,29.0,29.0,False
routing_swap_count,bell,ibm,qiskit-generic-backend-v2-line-proxy,2,3,1,0.0,0.0,0.0,0.0,False
routing_swap_count,bell,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,3,1,0.0,0.0,0.0,0.0,False
routing_swap_count,ghz,ibm,qiskit-generic-backend-v2-line-proxy,3,3,1,4.0,0.0,4.0,4.0,False
routing_swap_count,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,3,1,0.0,0.0,0.0,0.0,False
routing_swap_count,ghz,ibm,qiskit-generic-backend-v2-line-proxy,5,3,1,12.0,0.0,12.0,12.0,False
routing_swap_count,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,3,1,0.0,0.0,0.0,0.0,False
routing_swap_count,ghz,ibm,qiskit-generic-backend-v2-line-proxy,7,3,1,20.0,0.0,20.0,20.0,False
routing_swap_count,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,7,3,1,0.0,0.0,0.0,0.0,False
routing_swap_count,grover,ibm,qiskit-generic-backend-v2-line-proxy,2,3,1,0.0,0.0,0.0,0.0,False
routing_swap_count,grover,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,3,1,0.0,0.0,0.0,0.0,False
routing_swap_count,qft,ibm,qiskit-generic-backend-v2-line-proxy,3,3,1,6.0,0.0,6.0,6.0,False
routing_swap_count,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,3,1,0.0,0.0,0.0,0.0,False
routing_swap_count,qft,ibm,qiskit-generic-backend-v2-line-proxy,5,3,1,30.0,0.0,30.0,30.0,False
routing_swap_count,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,3,1,0.0,0.0,0.0,0.0,False
native_entangling_gate_count,bell,ibm,qiskit-generic-backend-v2-line-proxy,2,3,1,1.0,0.0,1.0,1.0,False
native_entangling_gate_count,bell,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,3,1,1.0,0.0,1.0,1.0,False
native_entangling_gate_count,ghz,ibm,qiskit-generic-backend-v2-line-proxy,3,3,1,12.0,0.0,12.0,12.0,False
native_entangling_gate_count,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,3,1,2.0,0.0,2.0,2.0,False
native_entangling_gate_count,ghz,ibm,qiskit-generic-backend-v2-line-proxy,5,3,1,34.0,0.0,34.0,34.0,False
native_entangling_gate_count,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,3,1,4.0,0.0,4.0,4.0,False
native_entangling_gate_count,ghz,ibm,qiskit-generic-backend-v2-line-proxy,7,3,1,56.0,0.0,56.0,56.0,False
native_entangling_gate_count,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,7,3,1,6.0,0.0,6.0,6.0,False
native_entangling_gate_count,grover,ibm,qiskit-generic-backend-v2-line-proxy,2,3,1,2.0,0.0,2.0,2.0,False
native_entangling_gate_count,grover,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,3,1,2.0,0.0,2.0,2.0,False
native_entangling_gate_count,qft,ibm,qiskit-generic-backend-v2-line-proxy,3,3,1,27.0,0.0,27.0,27.0,False
native_entangling_gate_count,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,3,1,6.0,0.0,6.0,6.0,False
native_entangling_gate_count,qft,ibm,qiskit-generic-backend-v2-line-proxy,5,3,1,116.0,0.0,116.0,116.0,False
native_entangling_gate_count,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,3,1,16.0,0.0,16.0,16.0,False
estimated_native_execution_duration_ns,bell,ibm,qiskit-generic-backend-v2-line-proxy,2,3,1,620.0,0.0,620.0,620.0,False
estimated_native_execution_duration_ns,bell,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,3,1,450.0,0.0,450.0,450.0,False
estimated_native_execution_duration_ns,ghz,ibm,qiskit-generic-backend-v2-line-proxy,3,3,1,4040.0,0.0,4040.0,4040.0,False
estimated_native_execution_duration_ns,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,3,1,770.0,0.0,770.0,770.0,False
estimated_native_execution_duration_ns,ghz,ibm,qiskit-generic-backend-v2-line-proxy,5,3,1,10880.0,0.0,10880.0,10880.0,False
estimated_native_execution_duration_ns,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,3,1,1410.0,0.0,1410.0,1410.0,False
estimated_native_execution_duration_ns,ghz,ibm,qiskit-generic-backend-v2-line-proxy,7,3,1,17720.0,0.0,17720.0,17720.0,False
estimated_native_execution_duration_ns,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,7,3,1,2050.0,0.0,2050.0,2050.0,False
estimated_native_execution_duration_ns,grover,ibm,qiskit-generic-backend-v2-line-proxy,2,3,1,1160.0,0.0,1160.0,1160.0,False
estimated_native_execution_duration_ns,grover,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,3,1,720.0,0.0,720.0,720.0,False
estimated_native_execution_duration_ns,qft,ibm,qiskit-generic-backend-v2-line-proxy,3,3,1,8700.0,0.0,8700.0,8700.0,False
estimated_native_execution_duration_ns,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,3,1,1530.0,0.0,1530.0,1530.0,False
