scenario,duration_multiplier,error_multiplier,circuit_family,provider,target_model,qubit_count,repetition,estimated_native_execution_duration_from_proxy_timing_model_ns,estimated_native_execution_duration_from_proxy_timing_model_us,estimated_success_probability_from_proxy_error_model
optimistic,0.75,0.5,bell,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,2,337.5,0.3375,0.986809
optimistic,0.75,0.5,bell,ibm,qiskit-generic-backend-v2-line-proxy,2,3,465.0,0.465,0.974712
optimistic,0.75,0.5,bell,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,3,337.5,0.3375,0.986809
optimistic,0.75,0.5,ghz,ibm,qiskit-generic-backend-v2-line-proxy,3,1,3030.0,3.03,0.913199
optimistic,0.75,0.5,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,1,577.5,0.5775,0.978931
optimistic,0.75,0.5,ghz,ibm,qiskit-generic-backend-v2-line-proxy,3,2,3030.0,3.03,0.913199
optimistic,0.75,0.5,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,2,577.5,0.5775,0.978931
optimistic,0.75,0.5,ghz,ibm,qiskit-generic-backend-v2-line-proxy,3,3,3030.0,3.03,0.913199
optimistic,0.75,0.5,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,3,577.5,0.5775,0.978931
optimistic,0.75,0.5,ghz,ibm,qiskit-generic-backend-v2-line-proxy,5,1,8160.0,8.16,0.801574
optimistic,0.75,0.5,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,1,1057.5,1.0575,0.963362
optimistic,0.75,0.5,ghz,ibm,qiskit-generic-backend-v2-line-proxy,5,2,8160.0,8.16,0.801574
optimistic,0.75,0.5,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,2,1057.5,1.0575,0.963362
optimistic,0.75,0.5,ghz,ibm,qiskit-generic-backend-v2-line-proxy,5,3,8160.0,8.16,0.801574
optimistic,0.75,0.5,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,3,1057.5,1.0575,0.963362
optimistic,0.75,0.5,ghz,ibm,qiskit-generic-backend-v2-line-proxy,7,1,13290.0,13.29,0.703593
optimistic,0.75,0.5,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,7,1,1537.5,1.5375,0.948042
optimistic,0.75,0.5,ghz,ibm,qiskit-generic-backend-v2-line-proxy,7,2,13290.0,13.29,0.703593
optimistic,0.75,0.5,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,7,2,1537.5,1.5375,0.948042
optimistic,0.75,0.5,ghz,ibm,qiskit-generic-backend-v2-line-proxy,7,3,13290.0,13.29,0.703593
optimistic,0.75,0.5,ghz,quantinuum,quantinuum-h-series-rzz-offline-proxy,7,3,1537.5,1.5375,0.948042
optimistic,0.75,0.5,grover,ibm,qiskit-generic-backend-v2-line-proxy,2,1,870.0,0.87,0.968384
optimistic,0.75,0.5,grover,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,1,540.0,0.54,0.983604
optimistic,0.75,0.5,grover,ibm,qiskit-generic-backend-v2-line-proxy,2,2,870.0,0.87,0.968384
optimistic,0.75,0.5,grover,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,2,540.0,0.54,0.983604
optimistic,0.75,0.5,grover,ibm,qiskit-generic-backend-v2-line-proxy,2,3,870.0,0.87,0.968384
optimistic,0.75,0.5,grover,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,3,540.0,0.54,0.983604
optimistic,0.75,0.5,qft,ibm,qiskit-generic-backend-v2-line-proxy,3,1,6525.0,6.525,0.846208
optimistic,0.75,0.5,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,1,1147.5,1.1475,0.96821
optimistic,0.75,0.5,qft,ibm,qiskit-generic-backend-v2-line-proxy,3,2,6525.0,6.525,0.846208
optimistic,0.75,0.5,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,2,1147.5,1.1475,0.96821
optimistic,0.75,0.5,qft,ibm,qiskit-generic-backend-v2-line-proxy,3,3,6525.0,6.525,0.846208
optimistic,0.75,0.5,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,3,3,1147.5,1.1475,0.96821
optimistic,0.75,0.5,qft,ibm,qiskit-generic-backend-v2-line-proxy,5,1,26850.0,26.85,0.530356
optimistic,0.75,0.5,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,1,2647.5,2.6475,0.932988
optimistic,0.75,0.5,qft,ibm,qiskit-generic-backend-v2-line-proxy,5,2,26850.0,26.85,0.530356
optimistic,0.75,0.5,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,2,2647.5,2.6475,0.932988
optimistic,0.75,0.5,qft,ibm,qiskit-generic-backend-v2-line-proxy,5,3,26850.0,26.85,0.530356
optimistic,0.75,0.5,qft,quantinuum,quantinuum-h-series-rzz-offline-proxy,5,3,2647.5,2.6475,0.932988
pessimistic,1.25,2.0,bell,ibm,qiskit-generic-backend-v2-line-proxy,2,1,775.0,0.775,0.901362
pessimistic,1.25,2.0,bell,quantinuum,quantinuum-h-series-rzz-offline-proxy,2,1,562.5,0.5625,0.947946
pessimistic,1.25,2.0,bell,ibm,qiskit-generic-backend-v2-line-proxy,2,2,775.0,0.775,0.901362
