provider,target_model,qubit_count,repetition,logical_operation_counts,routed_operation_counts,native_operation_counts,logical_depth,routed_depth,native_compiled_depth,routing_swap_count,native_entangling_gate_count,unsupported_operation_count,equivalence_passed,routed_operation_sequence,native_operation_sequence
ibm,qiskit-generic-backend-v2-line-proxy,2,1,"{""cz"": 2, ""h"": 6, ""measure"": 2, ""x"": 4}","{""cz"": 2, ""h"": 6, ""measure"": 2, ""x"": 4}","{""cx"": 2, ""measure"": 2, ""rz"": 9, ""sx"": 4}",8,8.0,12.0,0.0,2.0,0.0,True,"h(0) -> h(1) -> cz(0,1) -> h(0) -> h(1) -> x(0) -> x(1) -> cz(0,1) -> x(0) -> x(1) -> h(0) -> h(1) -> measure(0) -> measure(1)","rz(0) -> sx(0) -> rz(0) -> cx(0,1) -> rz(0) -> sx(0) -> rz(0) -> rz(1) -> sx(1) -> rz(1) -> cx(0,1) -> rz(0) -> sx(0) -> rz(0) -> rz(1) -> measure(0) -> measure(1)"
ibm,qiskit-generic-backend-v2-line-proxy,2,2,"{""cz"": 2, ""h"": 6, ""measure"": 2, ""x"": 4}","{""cz"": 2, ""h"": 6, ""measure"": 2, ""x"": 4}","{""cx"": 2, ""measure"": 2, ""rz"": 9, ""sx"": 4}",8,8.0,12.0,0.0,2.0,0.0,True,"h(0) -> h(1) -> cz(0,1) -> h(0) -> h(1) -> x(0) -> x(1) -> cz(0,1) -> x(0) -> x(1) -> h(0) -> h(1) -> measure(0) -> measure(1)","rz(0) -> sx(0) -> rz(0) -> cx(0,1) -> rz(0) -> sx(0) -> rz(0) -> rz(1) -> sx(1) -> rz(1) -> cx(0,1) -> rz(0) -> sx(0) -> rz(0) -> rz(1) -> measure(0) -> measure(1)"
ibm,qiskit-generic-backend-v2-line-proxy,2,3,"{""cz"": 2, ""h"": 6, ""measure"": 2, ""x"": 4}","{""cz"": 2, ""h"": 6, ""measure"": 2, ""x"": 4}","{""cx"": 2, ""measure"": 2, ""rz"": 9, ""sx"": 4}",8,8.0,12.0,0.0,2.0,0.0,True,"h(0) -> h(1) -> cz(0,1) -> h(0) -> h(1) -> x(0) -> x(1) -> cz(0,1) -> x(0) -> x(1) -> h(0) -> h(1) -> measure(0) -> measure(1)","rz(0) -> sx(0) -> rz(0) -> cx(0,1) -> rz(0) -> sx(0) -> rz(0) -> rz(1) -> sx(1) -> rz(1) -> cx(0,1) -> rz(0) -> sx(0) -> rz(0) -> rz(1) -> measure(0) -> measure(1)"
quantinuum,quantinuum-h-series-rzz-offline-proxy,2,1,"{""cz"": 2, ""h"": 6, ""measure"": 2, ""x"": 4}","{""cz"": 2, ""h"": 6, ""measure"": 2, ""x"": 4}","{""measure"": 2, ""rx"": 6, ""rz"": 8, ""rzz"": 2}",8,8.0,10.0,0.0,2.0,0.0,True,"h(0) -> h(1) -> cz(0,1) -> h(0) -> h(1) -> x(0) -> x(1) -> cz(0,1) -> x(0) -> x(1) -> h(0) -> h(1) -> measure(0) -> measure(1)","rz(0) -> rx(0) -> rz(0) -> rz(1) -> rx(1) -> rz(1) -> rzz(0,1) -> rx(0) -> rz(0) -> rx(1) -> rz(1) -> rzz(0,1) -> rx(0) -> rz(0) -> rx(1) -> rz(1) -> measure(0) -> measure(1)"
quantinuum,quantinuum-h-series-rzz-offline-proxy,2,2,"{""cz"": 2, ""h"": 6, ""measure"": 2, ""x"": 4}","{""cz"": 2, ""h"": 6, ""measure"": 2, ""x"": 4}","{""measure"": 2, ""rx"": 6, ""rz"": 8, ""rzz"": 2}",8,8.0,10.0,0.0,2.0,0.0,True,"h(0) -> h(1) -> cz(0,1) -> h(0) -> h(1) -> x(0) -> x(1) -> cz(0,1) -> x(0) -> x(1) -> h(0) -> h(1) -> measure(0) -> measure(1)","rz(0) -> rx(0) -> rz(0) -> rz(1) -> rx(1) -> rz(1) -> rzz(0,1) -> rx(0) -> rz(0) -> rx(1) -> rz(1) -> rzz(0,1) -> rx(0) -> rz(0) -> rx(1) -> rz(1) -> measure(0) -> measure(1)"
quantinuum,quantinuum-h-series-rzz-offline-proxy,2,3,"{""cz"": 2, ""h"": 6, ""measure"": 2, ""x"": 4}","{""cz"": 2, ""h"": 6, ""measure"": 2, ""x"": 4}","{""measure"": 2, ""rx"": 6, ""rz"": 8, ""rzz"": 2}",8,8.0,10.0,0.0,2.0,0.0,True,"h(0) -> h(1) -> cz(0,1) -> h(0) -> h(1) -> x(0) -> x(1) -> cz(0,1) -> x(0) -> x(1) -> h(0) -> h(1) -> measure(0) -> measure(1)","rz(0) -> rx(0) -> rz(0) -> rz(1) -> rx(1) -> rz(1) -> rzz(0,1) -> rx(0) -> rz(0) -> rx(1) -> rz(1) -> rzz(0,1) -> rx(0) -> rz(0) -> rx(1) -> rz(1) -> measure(0) -> measure(1)"
