provider,backend,job_id,pub_index,register_name,bit_width,shots,all_zero_count,all_one_count,all_zero_or_all_one_count,all_zero_or_all_one_probability,distinct_outcomes
ibm,ibm_kingston,d95vhvd2su3c739gc080,62,c,12,4096,1,1,2,0.000488,2548
ibm,ibm_kingston,d95vhvd2su3c739gc080,63,c,14,4096,1551,1128,2679,0.654053,280
ibm,ibm_kingston,d95vhvd2su3c739gc080,64,c,14,4096,0,1,1,0.000244,3580
ibm,ibm_kingston,d95vhvd2su3c739gc080,65,c,14,4096,0,0,0,0.0,3585
ibm,ibm_kingston,d95vhvd2su3c739gc080,66,c,16,4096,1528,1028,2556,0.624023,386
ibm,ibm_kingston,d95vhvd2su3c739gc080,67,c,16,4096,0,0,0,0.0,3972
ibm,ibm_kingston,d95vhvd2su3c739gc080,68,c,16,4096,0,0,0,0.0,3960
ibm,ibm_kingston,d95vhvd2su3c739gc080,69,c,2,4096,2049,1912,3961,0.967041,4
ibm,ibm_kingston,d95vhvd2su3c739gc080,70,c,2,4096,1004,1036,2040,0.498047,4
ibm,ibm_kingston,d95vhvd2su3c739gc080,71,c,4,4096,2006,1889,3895,0.950928,15
ibm,ibm_kingston,d95vhvd2su3c739gc080,72,c,4,4096,270,237,507,0.123779,16
ibm,ibm_kingston,d95vhvd2su3c739gc080,73,c,4,4096,293,254,547,0.133545,16
ibm,ibm_kingston,d95vhvd2su3c739gc080,74,c,6,4096,1884,1810,3694,0.901855,37
ibm,ibm_kingston,d95vhvd2su3c739gc080,75,c,6,4096,54,67,121,0.029541,64
ibm,ibm_kingston,d95vhvd2su3c739gc080,76,c,6,4096,65,48,113,0.027588,64
ibm,ibm_kingston,d95vhvd2su3c739gc080,77,c,8,4096,1878,1628,3506,0.855957,92
ibm,ibm_kingston,d95vhvd2su3c739gc080,78,c,8,4096,16,21,37,0.009033,256
ibm,ibm_kingston,d95vhvd2su3c739gc080,79,c,8,4096,29,19,48,0.011719,256
ibm,ibm_kingston,d95vhvd2su3c739gc080,80,c,10,4096,1691,1474,3165,0.772705,134
ibm,ibm_kingston,d95vhvd2su3c739gc080,81,c,10,4096,7,3,10,0.002441,1003
ibm,ibm_kingston,d95vhvd2su3c739gc080,82,c,10,4096,5,4,9,0.002197,1003
ibm,ibm_kingston,d95vhvd2su3c739gc080,83,c,12,4096,1582,1354,2936,0.716797,211
ibm,ibm_kingston,d95vhvd2su3c739gc080,84,c,12,4096,5,2,7,0.001709,2587
ibm,ibm_kingston,d95vhvd2su3c739gc080,85,c,12,4096,4,2,6,0.001465,2599
ibm,ibm_kingston,d95vhvd2su3c739gc080,86,c,14,4096,1500,1200,2700,0.65918,291
ibm,ibm_kingston,d95vhvd2su3c739gc080,87,c,14,4096,0,0,0,0.0,3648
ibm,ibm_kingston,d95vhvd2su3c739gc080,88,c,14,4096,0,0,0,0.0,3605
ibm,ibm_kingston,d95vhvd2su3c739gc080,89,c,16,4096,1458,1030,2488,0.607422,390
ibm,ibm_kingston,d95vhvd2su3c739gc080,90,c,16,4096,0,0,0,0.0,3959
ibm,ibm_kingston,d95vhvd2su3c739gc080,91,c,16,4096,0,0,0,0.0,3960
ibm,ibm_kingston,d95vhvd2su3c739gc080,92,c,2,4096,1983,1985,3968,0.96875,4
ibm,ibm_kingston,d95vhvd2su3c739gc080,93,c,2,4096,1053,1038,2091,0.510498,4
ibm,ibm_kingston,d95vhvd2su3c739gc080,94,c,4,4096,2025,1872,3897,0.951416,15
ibm,ibm_kingston,d95vhvd2su3c739gc080,95,c,4,4096,303,232,535,0.130615,16
ibm,ibm_kingston,d95vhvd2su3c739gc080,96,c,4,4096,267,261,528,0.128906,16
ibm,ibm_kingston,d95vhvd2su3c739gc080,97,c,6,4096,1989,1762,3751,0.915771,36
ibm,ibm_kingston,d95vhvd2su3c739gc080,98,c,6,4096,84,74,158,0.038574,64
ibm,ibm_kingston,d95vhvd2su3c739gc080,99,c,6,4096,78,49,127,0.031006,64
ibm,ibm_kingston,d95vhvd2su3c739gc080,100,c,8,4096,1858,1655,3513,0.857666,93
ibm,ibm_kingston,d95vhvd2su3c739gc080,101,c,8,4096,17,16,33,0.008057,256
ibm,ibm_kingston,d95vhvd2su3c739gc080,102,c,8,4096,26,6,32,0.007812,256
ibm,ibm_kingston,d95vhvd2su3c739gc080,103,c,10,4096,1647,1472,3119,0.761475,148
ibm,ibm_kingston,d95vhvd2su3c739gc080,104,c,10,4096,4,5,9,0.002197,997
ibm,ibm_kingston,d95vhvd2su3c739gc080,105,c,10,4096,2,2,4,0.000977,1001
ibm,ibm_kingston,d95vhvd2su3c739gc080,106,c,12,4096,1622,1338,2960,0.722656,220
ibm,ibm_kingston,d95vhvd2su3c739gc080,107,c,12,4096,3,2,5,0.001221,2606
ibm,ibm_kingston,d95vhvd2su3c739gc080,108,c,12,4096,2,2,4,0.000977,2592
ibm,ibm_kingston,d95vhvd2su3c739gc080,109,c,14,4096,1487,1189,2676,0.65332,292
ibm,ibm_kingston,d95vhvd2su3c739gc080,110,c,14,4096,1,1,2,0.000488,3574
ibm,ibm_kingston,d95vhvd2su3c739gc080,111,c,14,4096,2,0,2,0.000488,3612
ibm,ibm_kingston,d95vhvd2su3c739gc080,112,c,16,4096,1469,1013,2482,0.605957,376
ibm,ibm_kingston,d95vhvd2su3c739gc080,113,c,16,4096,1,0,1,0.000244,3962
ibm,ibm_kingston,d95vhvd2su3c739gc080,114,c,16,4096,0,0,0,0.0,3951
